3000 0.01 1.00 19.000    293.1    0.5875     2.263     61.39   0.07607   0.03519 
30000 0.01 1.00 19.000     3277    0.8244     2.946     266.6   0.04594    0.0582 
300 0.01 1.00 -1.000     1041    0.1237     2.771     399.4   0.03233    0.2612 
3000 0.01 1.00 -1.000     2415    0.3655     3.433     146.2   0.01713   0.08304 
30000 0.01 1.00 -1.000     4493    0.7767     3.194     239.1   0.03063   0.05642 
300 0.03 1.00 1.000     2200   0.08258     2.674     679.2    0.0186    0.2191 
3000 0.03 1.00 1.000     7796    0.1915     3.333     433.4  0.008286   0.07138 
30000 0.03 1.00 1.000 1.559e+04    0.2875     2.972      5826   0.07527    0.3103 
300 0.03 1.00 3.000    239.3    0.2392      2.83     26.02     0.018   0.07371 
3000 0.03 1.00 3.000     2147    0.3343     3.113       577     0.066    0.2663 
30000 0.03 1.00 3.000     7511    0.5502     2.997     667.5   0.03708   0.08489 
300 0.03 1.00 10.000    90.04    0.2863      2.54     40.51   0.08863    0.2304 
3000 0.03 1.00 10.000    276.9    0.8811     3.102     17.29   0.04104   0.06037 
30000 0.03 1.00 10.000     2604    0.9873     3.127     364.5    0.1017    0.1296 
300 0.03 1.00 19.000    26.72    0.4516     2.528     7.204   0.08181    0.1281 
3000 0.03 1.00 19.000    197.1     0.994     2.977     19.19   0.06765   0.07624 
30000 0.03 1.00 19.000     2282     1.042     3.045     534.8    0.1696    0.1863 
300 0.03 1.00 -1.000     2782   0.09152     3.063       720   0.01809    0.2865 
3000 0.03 1.00 -1.000     6715    0.2192     3.399      1818   0.04626    0.3812 
30000 0.03 1.00 -1.000     9562    0.5666     3.362      1157   0.05565    0.1765 
300 0.10 1.00 1.000     1369    0.1055     2.777     195.5   0.01154    0.1175 
3000 0.10 1.00 1.000     3818    0.2069     2.732     604.5   0.02837    0.1619 
30000 0.10 1.00 1.000     9057    0.4319     2.662      1652   0.07602    0.2241 
300 0.10 1.00 3.000    380.6    0.1751     2.703     64.09   0.02079    0.1084 
3000 0.10 1.00 3.000     1466    0.3402      2.87     806.9     0.136    0.4221 
30000 0.10 1.00 3.000     5138    0.6534     3.069     746.1   0.07493    0.1491 
300 0.10 1.00 10.000    84.29    0.2665     2.497     36.22   0.07901    0.2079 
3000 0.10 1.00 10.000    258.6    0.8002     2.934     7.102   0.01582   0.02187 
30000 0.10 1.00 10.000     2610    0.9192      3.02     284.1   0.07177   0.08844 
300 0.10 1.00 19.000    25.47     0.404     2.473     12.25    0.1307    0.2065 
3000 0.10 1.00 19.000    131.7     1.091     2.952     8.642   0.05171   0.05238 
30000 0.10 1.00 19.000     2096    0.9888     2.897     205.3   0.06566   0.06422 
300 0.10 1.00 -1.000     6204   0.07266     3.414      1598   0.01581    0.4356 
3000 0.10 1.00 -1.000     8506    0.2126      3.78      1301   0.02856    0.3289 
30000 0.10 1.00 -1.000 1.477e+04      0.46     3.374      2689   0.07651    0.3397 
300 0.30 1.00 1.000     1814   0.06853     2.451     730.6   0.02076    0.2325 
3000 0.30 1.00 1.000     4259    0.1801     2.697      1086    0.0366    0.2068 
30000 0.30 1.00 1.000     9573    0.3278     2.335      1819   0.05733    0.1499 
300 0.30 1.00 3.000    394.4     0.137     2.511     87.66   0.02135    0.1134 
3000 0.30 1.00 3.000     1252     0.356      2.93     80.66   0.01704   0.05445 
30000 0.30 1.00 3.000     8463    0.4199     2.705      3167    0.1137    0.2373 
300 0.30 1.00 10.000     80.2    0.2285     2.424     25.68   0.04863    0.1249 
3000 0.30 1.00 10.000    310.7    0.6615     2.842     86.51    0.1294    0.1958 
30000 0.30 1.00 10.000     3092    0.7422     2.824      1234    0.1987    0.2316 
300 0.30 1.00 19.000    24.45    0.3281     2.353     8.581   0.07748    0.1256 
3000 0.30 1.00 19.000    122.8     1.034     2.893     3.998   0.02418   0.02448 
30000 0.30 1.00 19.000     1740     0.988     2.833     222.7   0.08713   0.07808 
300 0.30 1.00 -1.000 1.002e+04   0.06255     3.865      3392   0.02124    0.9605 
3000 0.30 1.00 -1.000 2.132e+04    0.1295     3.622      8540   0.05401     1.075 
30000 0.30 1.00 -1.000 2.25e+04    0.4248     3.809      3272    0.0656    0.4401 
300 1.00 1.00 1.000     1993   0.06959     2.543     503.7    0.0128    0.1501 
3000 1.00 1.00 1.000     4217    0.1881     2.741     715.6   0.02576    0.1459 
30000 1.00 1.00 1.000     8947    0.3425     2.384      1319   0.04528     0.116 
300 1.00 1.00 3.000    471.5    0.1259     2.515     177.8   0.03303    0.1927 
3000 1.00 1.00 3.000     1688    0.3069     2.867     195.3   0.02593   0.08953 
30000 1.00 1.00 3.000     5777    0.5468     2.871     621.4   0.04375   0.08411 
300 1.00 1.00 10.000     88.6    0.2163     2.406     36.49   0.05999    0.1627 
3000 1.00 1.00 10.000    259.5    0.7867     2.982      14.3   0.03205   0.04704 
