3000 0.10 0.10 -1.000    514.5     1.247     6.692     103.2     0.116    0.4578 
30000 0.10 0.10 -1.000    678.9     2.574       4.9     113.3    0.3073     0.483 
300 0.30 0.10 1.000    136.6     1.133     12.94     22.51   0.07379    0.7977 
3000 0.30 0.10 1.000    404.7      2.48     16.68     60.27    0.2719     2.413 
30000 0.30 0.10 1.000    890.3     3.389     8.908     153.1    0.4466     1.377 
300 0.30 0.10 3.000    32.55     1.729     8.321     11.28    0.2647     1.099 
3000 0.30 0.10 3.000    151.6     1.717     4.585     60.47    0.4678    0.9102 
30000 0.30 0.10 3.000    627.2     1.237     2.267     211.3    0.3777    0.3366 
300 0.30 0.10 10.000    20.88    0.8855     3.445     7.399    0.1503    0.2323 
3000 0.30 0.10 10.000    111.8     1.144     3.192     36.22    0.1992    0.2438 
30000 0.30 0.10 10.000    427.3     1.743     3.084     102.5    0.2776    0.2615 
300 0.30 0.10 19.000    8.942      1.08     3.174     1.991    0.1292    0.1568 
3000 0.30 0.10 19.000    61.69     1.617     3.386      11.4    0.1604    0.1733 
30000 0.30 0.10 19.000    299.9     2.192     3.157     37.71    0.1887    0.1515 
300 0.30 0.10 -1.000      526    0.6197     14.55     58.17   0.04625     1.164 
3000 0.30 0.10 -1.000    805.6     1.511     12.91     90.71   0.09884    0.8903 
30000 0.30 0.10 -1.000    962.5     3.573     9.523     152.9    0.4245     1.349 
300 1.00 0.10 1.000    243.1    0.5473     6.527     151.6   0.09602      0.57 
3000 1.00 0.10 1.000    295.9     3.441      21.8     56.32    0.6347     5.928 
30000 1.00 0.10 1.000    764.8     3.048     6.544     138.6    0.4718     1.028 
300 1.00 0.10 3.000    32.58     1.559     7.364     13.02    0.2284    0.8066 
3000 1.00 0.10 3.000    213.5     1.096     3.487     114.1    0.3624    0.5663 
30000 1.00 0.10 3.000    649.7    0.9318     1.982     184.1    0.2383    0.1932 
300 1.00 0.10 10.000     14.6     1.138     3.753     5.583    0.2146    0.3207 
3000 1.00 0.10 10.000    109.9     1.158     3.199     29.51    0.1667    0.2029 
30000 1.00 0.10 10.000    468.5     1.667     3.023      85.2    0.1888    0.1811 
300 1.00 0.10 19.000    7.636      1.14      3.11     2.213     0.183    0.2037 
3000 1.00 0.10 19.000     68.1     1.516     3.361     11.57    0.1395     0.154 
30000 1.00 0.10 19.000    313.1     2.173     3.189     37.84    0.1663    0.1451 
300 1.00 0.10 -1.000    929.7     2.691     360.3       142     4.298      1118 
